Gene,Cancer Type,Source,Study,level
FBXW7,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
KRAS,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
NF1,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
NRAS,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
PTEN,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
RB1,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
RPL5,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
TP53,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",A
FLT3,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",B
CNOT1,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",C
CNOT3,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",C
SH2B3,ALL,IntOGen,"ALL_Leu,ALL_Mem,ALL_NewS",C
FGFR1,AST,IntOGen,AST_NewS,A
PTPN11,AST,IntOGen,AST_NewS,B
ACTG1,BLCA,IntOGen,BLCA_TCGA,A
APC,BLCA,IntOGen,BLCA_TCGA,A
ARID1A,BLCA,IntOGen,BLCA_TCGA,A
BAP1,BLCA,IntOGen,BLCA_TCGA,A
BRAF,BLCA,IntOGen,BLCA_TCGA,A
CASP8,BLCA,IntOGen,BLCA_TCGA,A
CDH1,BLCA,IntOGen,BLCA_TCGA,A
CDKN1A,BLCA,IntOGen,BLCA_TCGA,A
CDKN1B,BLCA,IntOGen,BLCA_TCGA,A
CDKN2A,BLCA,IntOGen,BLCA_TCGA,A
CIC,BLCA,IntOGen,BLCA_TCGA,A
CTCF,BLCA,IntOGen,BLCA_TCGA,A
CTNNB1,BLCA,IntOGen,BLCA_TCGA,A
DDX5,BLCA,IntOGen,BLCA_TCGA,A
ELF3,BLCA,IntOGen,BLCA_TCGA,A
FAT1,BLCA,IntOGen,BLCA_TCGA,A
FBXW7,BLCA,IntOGen,BLCA_TCGA,A
FRG1B*,BLCA,IntOGen,BLCA_TCGA,A
HRAS,BLCA,IntOGen,BLCA_TCGA,A
IDH1,BLCA,IntOGen,BLCA_TCGA,A
KDM6A,BLCA,IntOGen,BLCA_TCGA,A
KEAP1,BLCA,IntOGen,BLCA_TCGA,A
MAP3K1,BLCA,IntOGen,BLCA_TCGA,A
MLL2,BLCA,IntOGen,BLCA_TCGA,A
MLL3,BLCA,IntOGen,BLCA_TCGA,A
NFE2L2,BLCA,IntOGen,BLCA_TCGA,A
NRAS,BLCA,IntOGen,BLCA_TCGA,A
PHF6,BLCA,IntOGen,BLCA_TCGA,A
PTEN,BLCA,IntOGen,BLCA_TCGA,A
RASA1,BLCA,IntOGen,BLCA_TCGA,A
RB1,BLCA,IntOGen,BLCA_TCGA,A
RHOA,BLCA,IntOGen,BLCA_TCGA,A
RPSAP58,BLCA,IntOGen,BLCA_TCGA,A
SETD2,BLCA,IntOGen,BLCA_TCGA,A
SMAD4,BLCA,IntOGen,BLCA_TCGA,A
STAG2,BLCA,IntOGen,BLCA_TCGA,A
TBL1XR1,BLCA,IntOGen,BLCA_TCGA,A
TP53,BLCA,IntOGen,BLCA_TCGA,A
TXNIP,BLCA,IntOGen,BLCA_TCGA,A
ACSL6,BLCA,IntOGen,BLCA_TCGA,B
AFF4,BLCA,IntOGen,BLCA_TCGA,B
ARHGAP26,BLCA,IntOGen,BLCA_TCGA,B
BCOR,BLCA,IntOGen,BLCA_TCGA,B
BLM,BLCA,IntOGen,BLCA_TCGA,B
BRCA1,BLCA,IntOGen,BLCA_TCGA,B
CDK12,BLCA,IntOGen,BLCA_TCGA,B
CHEK2,BLCA,IntOGen,BLCA_TCGA,B
CLTC,BLCA,IntOGen,BLCA_TCGA,B
DICER1,BLCA,IntOGen,BLCA_TCGA,B
EIF4A2,BLCA,IntOGen,BLCA_TCGA,B
EP300,BLCA,IntOGen,BLCA_TCGA,B
ERCC2,BLCA,IntOGen,BLCA_TCGA,B
FAM123B,BLCA,IntOGen,BLCA_TCGA,B
FGFR2,BLCA,IntOGen,BLCA_TCGA,B
FGFR3,BLCA,IntOGen,BLCA_TCGA,B
FLT3,BLCA,IntOGen,BLCA_TCGA,B
FUS,BLCA,IntOGen,BLCA_TCGA,B
GNAS,BLCA,IntOGen,BLCA_TCGA,B
GOLGA5,BLCA,IntOGen,BLCA_TCGA,B
HSP90AA1,BLCA,IntOGen,BLCA_TCGA,B
HSP90AB1,BLCA,IntOGen,BLCA_TCGA,B
KLF6,BLCA,IntOGen,BLCA_TCGA,B
MECOM,BLCA,IntOGen,BLCA_TCGA,B
MED12,BLCA,IntOGen,BLCA_TCGA,B
MET,BLCA,IntOGen,BLCA_TCGA,B
MLH1,BLCA,IntOGen,BLCA_TCGA,B
MYH11,BLCA,IntOGen,BLCA_TCGA,B
NDRG1,BLCA,IntOGen,BLCA_TCGA,B
NOTCH1,BLCA,IntOGen,BLCA_TCGA,B
NUP98,BLCA,IntOGen,BLCA_TCGA,B
SF3B1,BLCA,IntOGen,BLCA_TCGA,B
SFPQ,BLCA,IntOGen,BLCA_TCGA,B
SUZ12,BLCA,IntOGen,BLCA_TCGA,B
TBX3,BLCA,IntOGen,BLCA_TCGA,B
TGFBR2,BLCA,IntOGen,BLCA_TCGA,B
THRAP3,BLCA,IntOGen,BLCA_TCGA,B
TSC1,BLCA,IntOGen,BLCA_TCGA,B
ZMYM2,BLCA,IntOGen,BLCA_TCGA,B
ZNF814,BLCA,IntOGen,BLCA_TCGA,B
ACTB,BLCA,IntOGen,BLCA_TCGA,C
ADAM10,BLCA,IntOGen,BLCA_TCGA,C
AHNAK,BLCA,IntOGen,BLCA_TCGA,C
AHR,BLCA,IntOGen,BLCA_TCGA,C
ANK3,BLCA,IntOGen,BLCA_TCGA,C
AQR,BLCA,IntOGen,BLCA_TCGA,C
ARFGAP1,BLCA,IntOGen,BLCA_TCGA,C
ARFGEF2,BLCA,IntOGen,BLCA_TCGA,C
ARHGAP35,BLCA,IntOGen,BLCA_TCGA,C
ARID1B,BLCA,IntOGen,BLCA_TCGA,C
ATR,BLCA,IntOGen,BLCA_TCGA,C
BCLAF1,BLCA,IntOGen,BLCA_TCGA,C
BMPR2,BLCA,IntOGen,BLCA_TCGA,C
CAD,BLCA,IntOGen,BLCA_TCGA,C
CARM1,BLCA,IntOGen,BLCA_TCGA,C
CAST,BLCA,IntOGen,BLCA_TCGA,C
CAT,BLCA,IntOGen,BLCA_TCGA,C
CCAR1,BLCA,IntOGen,BLCA_TCGA,C
CCT5,BLCA,IntOGen,BLCA_TCGA,C
CEP290,BLCA,IntOGen,BLCA_TCGA,C
CHD3,BLCA,IntOGen,BLCA_TCGA,C
CHD9,BLCA,IntOGen,BLCA_TCGA,C
CLASP2,BLCA,IntOGen,BLCA_TCGA,C
CLSPN,BLCA,IntOGen,BLCA_TCGA,C
CNOT1,BLCA,IntOGen,BLCA_TCGA,C
COPS2,BLCA,IntOGen,BLCA_TCGA,C
CSDE1,BLCA,IntOGen,BLCA_TCGA,C
CUL2,BLCA,IntOGen,BLCA_TCGA,C
DDX3X,BLCA,IntOGen,BLCA_TCGA,C
DIS3,BLCA,IntOGen,BLCA_TCGA,C
DLG1,BLCA,IntOGen,BLCA_TCGA,C
EEF1B2,BLCA,IntOGen,BLCA_TCGA,C
EIF2AK3,BLCA,IntOGen,BLCA_TCGA,C
EIF4G1,BLCA,IntOGen,BLCA_TCGA,C
ELF1,BLCA,IntOGen,BLCA_TCGA,C
ERBB2IP,BLCA,IntOGen,BLCA_TCGA,C
ERBB3,BLCA,IntOGen,BLCA_TCGA,C
FKBP5,BLCA,IntOGen,BLCA_TCGA,C
